,,,time(s),Vout,Vin
,,,-0.00784,1.96,0.96
,,,-0.00783,2,0.88
,,,-0.00782,1.92,0.8
,,,-0.00781,1.92,0.76
,,,-0.0078,1.88,0.72
,,,-0.00779,1.88,0.72
,,,-0.00778,1.84,0.72
,,,-0.00777,1.8,0.76
,,,-0.00776,1.76,0.76
,,,-0.00775,1.8,0.84
,,,-0.00774,1.76,0.96
,,,-0.00773,1.72,1.04
,,,-0.00772,1.72,1.12
,,,-0.00771,1.68,1.2
,,,-0.0077,1.68,1.32
,,,-0.00769,1.68,1.48
,,,-0.00768,1.68,1.6
,,,-0.00767,1.68,1.76
,,,-0.00766,1.68,1.88
,,,-0.00765,1.68,2
,,,-0.00764,1.68,2.12
,,,-0.00763,1.72,2.24
,,,-0.00762,1.72,2.36
,,,-0.00761,1.72,2.44
,,,-0.0076,1.76,2.56
,,,-0.00759,1.76,2.64
,,,-0.00758,1.8,2.72
,,,-0.00757,1.8,2.72
,,,-0.00756,1.8,2.76
,,,-0.00755,1.84,2.8
,,,-0.00754,1.84,2.8
,,,-0.00753,1.88,2.76
,,,-0.00752,1.88,2.72
,,,-0.00751,1.92,2.68
,,,-0.0075,1.92,2.64
,,,-0.00749,1.96,2.56
,,,-0.00748,1.96,2.44
,,,-0.00747,1.96,2.32
,,,-0.00746,2,2.24
,,,-0.00745,1.96,2.08
,,,-0.00744,2,1.96
,,,-0.00743,1.96,1.84
,,,-0.00742,1.96,1.68
,,,-0.00741,1.96,1.52
,,,-0.0074,1.96,1.4
,,,-0.00739,1.92,1.24
,,,-0.00738,1.92,1.12
,,,-0.00737,1.88,1
,,,-0.00736,1.88,0.88
,,,-0.00735,1.84,0.8
,,,-0.00734,1.8,0.68
,,,-0.00733,1.8,0.64
,,,-0.00732,1.8,0.56
,,,-0.00731,1.72,0.52
,,,-0.0073,1.72,0.48
,,,-0.00729,1.68,0.48
,,,-0.00728,1.68,0.48
,,,-0.00727,1.64,0.52
,,,-0.00726,1.6,0.56
,,,-0.00725,1.6,0.6
,,,-0.00724,1.56,0.68
,,,-0.00723,1.52,0.76
,,,-0.00722,1.52,0.88
,,,-0.00721,1.52,1
,,,-0.0072,1.48,1.12
,,,-0.00719,1.48,1.24
,,,-0.00718,1.48,1.36
,,,-0.00717,1.48,1.48
,,,-0.00716,1.48,1.6
,,,-0.00715,1.48,1.76
,,,-0.00714,1.52,1.88
,,,-0.00713,1.52,2
,,,-0.00712,1.52,2.12
,,,-0.00711,1.52,2.2
,,,-0.0071,1.52,2.28
,,,-0.00709,1.56,2.36
,,,-0.00708,1.56,2.4
,,,-0.00707,1.6,2.44
,,,-0.00706,1.6,2.52
,,,-0.00705,1.64,2.52
,,,-0.00704,1.64,2.52
,,,-0.00703,1.68,2.52
,,,-0.00702,1.72,2.44
,,,-0.00701,1.72,2.44
,,,-0.007,1.72,2.36
,,,-0.00699,1.72,2.28
,,,-0.00698,1.72,2.16
,,,-0.00697,1.76,2.08
,,,-0.00696,1.76,1.92
,,,-0.00695,1.76,1.8
,,,-0.00694,1.76,1.68
,,,-0.00693,1.76,1.52
,,,-0.00692,1.76,1.4
,,,-0.00691,1.76,1.24
,,,-0.0069,1.72,1.12
,,,-0.00689,1.72,1
,,,-0.00688,1.68,0.84
,,,-0.00687,1.68,0.72
,,,-0.00686,1.64,0.6
,,,-0.00685,1.6,0.48
,,,-0.00684,1.6,0.4
,,,-0.00683,1.56,0.32
,,,-0.00682,1.52,0.24
,,,-0.00681,1.52,0.2
,,,-0.0068,1.48,0.2
,,,-0.00679,1.44,0.2
,,,-0.00678,1.4,0.2
,,,-0.00677,1.4,0.24
,,,-0.00676,1.36,0.28
,,,-0.00675,1.36,0.28
,,,-0.00674,1.32,0.36
,,,-0.00673,1.28,0.48
,,,-0.00672,1.28,0.56
,,,-0.00671,1.24,0.68
,,,-0.0067,1.24,0.8
,,,-0.00669,1.2,0.92
,,,-0.00668,1.24,1.08
,,,-0.00667,1.24,1.2
,,,-0.00666,1.24,1.32
,,,-0.00665,1.24,1.44
,,,-0.00664,1.24,1.56
,,,-0.00663,1.24,1.68
,,,-0.00662,1.28,1.8
,,,-0.00661,1.28,1.88
,,,-0.0066,1.28,2
,,,-0.00659,1.28,2.08
,,,-0.00658,1.28,2.12
,,,-0.00657,1.36,2.2
,,,-0.00656,1.32,2.24
,,,-0.00655,1.36,2.24
,,,-0.00654,1.4,2.2
,,,-0.00653,1.4,2.2
,,,-0.00652,1.44,2.16
,,,-0.00651,1.44,2.08
,,,-0.0065,1.48,2.04
,,,-0.00649,1.48,1.96
,,,-0.00648,1.48,1.88
,,,-0.00647,1.48,1.76
,,,-0.00646,1.48,1.64
,,,-0.00645,1.52,1.48
,,,-0.00644,1.48,1.36
,,,-0.00643,1.48,1.2
,,,-0.00642,1.48,1.08
,,,-0.00641,1.44,0.96
,,,-0.0064,1.44,0.8
,,,-0.00639,1.44,0.64
,,,-0.00638,1.4,0.52
,,,-0.00637,1.4,0.4
,,,-0.00636,1.36,0.28
,,,-0.00635,1.36,0.2
,,,-0.00634,1.28,0.08
,,,-0.00633,1.28,0
,,,-0.00632,1.24,-0.04
,,,-0.00631,1.2,-0.08
,,,-0.0063,1.16,-0.08
,,,-0.00629,1.16,-0.12
,,,-0.00628,1.12,-0.12
,,,-0.00627,1.12,-0.08
,,,-0.00626,1.08,0
,,,-0.00625,1.08,0.04
,,,-0.00624,1.04,0.08
,,,-0.00623,1,0.16
,,,-0.00622,1,0.24
,,,-0.00621,0.96,0.32
,,,-0.0062,0.96,0.48
,,,-0.00619,1,0.6
,,,-0.00618,0.92,0.76
,,,-0.00617,0.96,0.88
,,,-0.00616,0.92,1.04
,,,-0.00615,0.92,1.12
,,,-0.00614,0.92,1.24
,,,-0.00613,0.96,1.36
,,,-0.00612,0.96,1.48
,,,-0.00611,1,1.6
,,,-0.0061,1,1.68
,,,-0.00609,1,1.72
,,,-0.00608,1.04,1.8
,,,-0.00607,1.08,1.84
,,,-0.00606,1.08,1.88
,,,-0.00605,1.08,1.88
,,,-0.00604,1.12,1.88
,,,-0.00603,1.12,1.88
,,,-0.00602,1.12,1.88
,,,-0.00601,1.16,1.8
,,,-0.006,1.16,1.72
,,,-0.00599,1.16,1.64
,,,-0.00598,1.16,1.56
,,,-0.00597,1.16,1.44
,,,-0.00596,1.2,1.32
,,,-0.00595,1.2,1.2
,,,-0.00594,1.2,1.04
,,,-0.00593,1.16,0.88
,,,-0.00592,1.16,0.76
,,,-0.00591,1.16,0.6
,,,-0.0059,1.16,0.48
,,,-0.00589,1.12,0.32
,,,-0.00588,1.08,0.2
,,,-0.00587,1.12,0.12
,,,-0.00586,1.08,-0.04
,,,-0.00585,1.04,-0.12
,,,-0.00584,1,-0.24
,,,-0.00583,0.96,-0.32
,,,-0.00582,0.96,-0.36
,,,-0.00581,0.92,-0.4
,,,-0.0058,0.88,-0.44
,,,-0.00579,0.84,-0.44
,,,-0.00578,0.84,-0.44
,,,-0.00577,0.84,-0.4
,,,-0.00576,0.76,-0.36
,,,-0.00575,0.76,-0.32
,,,-0.00574,0.72,-0.24
,,,-0.00573,0.72,-0.16
,,,-0.00572,0.72,-0.04
,,,-0.00571,0.68,0.08
,,,-0.0057,0.64,0.16
,,,-0.00569,0.68,0.32
,,,-0.00568,0.64,0.44
,,,-0.00567,0.6,0.56
,,,-0.00566,0.68,0.68
,,,-0.00565,0.68,0.8
,,,-0.00564,0.64,0.96
,,,-0.00563,0.64,1.08
,,,-0.00562,0.68,1.2
,,,-0.00561,0.68,1.28
,,,-0.0056,0.68,1.36
,,,-0.00559,0.72,1.44
